path,x0,y0,x1,y1
./imgs/img_00000.jpg,102,149,146,193
./imgs/img_00001.jpg,63,138,103,178
./imgs/img_00002.jpg,61,56,104,99
./imgs/img_00003.jpg,43,67,75,99
./imgs/img_00004.jpg,75,45,114,84
./imgs/img_00005.jpg,117,69,158,110
./imgs/img_00006.jpg,56,187,86,217
./imgs/img_00007.jpg,61,67,94,100
./imgs/img_00008.jpg,121,52,158,89
./imgs/img_00009.jpg,56,104,95,143
./imgs/img_00010.jpg,56,52,104,100
./imgs/img_00011.jpg,113,97,159,143
./imgs/img_00012.jpg,52,200,102,250
./imgs/img_00013.jpg,105,74,143,112
./imgs/img_00014.jpg,88,61,135,108
./imgs/img_00015.jpg,108,136,149,177
./imgs/img_00016.jpg,220,160,253,193
./imgs/img_00017.jpg,65,144,107,186
./imgs/img_00018.jpg,69,65,118,114
./imgs/img_00019.jpg,86,157,122,193
./imgs/img_00020.jpg,107,39,141,73
./imgs/img_00021.jpg,64,132,103,171
./imgs/img_00022.jpg,98,139,144,185
./imgs/img_00023.jpg,94,67,142,115
./imgs/img_00024.jpg,53,134,98,179
./imgs/img_00025.jpg,213,85,261,133
./imgs/img_00026.jpg,124,112,159,147
./imgs/img_00027.jpg,86,142,133,189
./imgs/img_00028.jpg,236,65,267,96
./imgs/img_00029.jpg,37,52,72,87
./imgs/img_00030.jpg,146,86,179,119
./imgs/img_00031.jpg,105,73,137,105
./imgs/img_00032.jpg,84,138,128,182
./imgs/img_00033.jpg,222,52,267,97
./imgs/img_00034.jpg,65,100,110,145
./imgs/img_00035.jpg,78,99,112,133
./imgs/img_00036.jpg,51,166,100,215
./imgs/img_00037.jpg,58,104,92,138
./imgs/img_00038.jpg,104,129,146,171
./imgs/img_00039.jpg,142,107,191,156
./imgs/img_00040.jpg,91,76,134,119
./imgs/img_00041.jpg,137,45,172,80
./imgs/img_00042.jpg,54,49,87,82
./imgs/img_00043.jpg,52,120,95,163
./imgs/img_00044.jpg,143,209,188,254
./imgs/img_00045.jpg,37,111,69,143
./imgs/img_00046.jpg,86,48,123,85
./imgs/img_00047.jpg,179,137,226,184
./imgs/img_00048.jpg,96,217,138,259
./imgs/img_00049.jpg,155,126,200,171
./imgs/img_00050.jpg,81,121,131,171
./imgs/img_00051.jpg,70,178,101,209
./imgs/img_00052.jpg,56,156,90,190
./imgs/img_00053.jpg,54,49,102,97
./imgs/img_00054.jpg,90,135,139,184
./imgs/img_00055.jpg,41,38,74,71
./imgs/img_00056.jpg,139,62,187,110
./imgs/img_00057.jpg,74,59,106,91
./imgs/img_00058.jpg,49,135,97,183
./imgs/img_00059.jpg,163,203,204,244
./imgs/img_00060.jpg,186,115,223,152
./imgs/img_00061.jpg,42,220,81,259
./imgs/img_00062.jpg,41,36,73,68
./imgs/img_00063.jpg,195,39,234,78
./imgs/img_00064.jpg,115,49,154,88
./imgs/img_00065.jpg,69,90,110,131
./imgs/img_00066.jpg,232,112,272,152
./imgs/img_00067.jpg,120,93,155,128
./imgs/img_00068.jpg,172,87,217,132
./imgs/img_00069.jpg,153,49,189,85
./imgs/img_00070.jpg,125,53,175,103
./imgs/img_00071.jpg,46,97,81,132
./imgs/img_00072.jpg,46,74,76,104
./imgs/img_00073.jpg,102,85,147,130
./imgs/img_00074.jpg,65,69,105,109
./imgs/img_00075.jpg,48,156,90,198
./imgs/img_00076.jpg,206,244,239,277
./imgs/img_00077.jpg,128,94,164,130
./imgs/img_00078.jpg,58,138,104,184
./imgs/img_00079.jpg,88,211,130,253
./imgs/img_00080.jpg,68,74,114,120
./imgs/img_00081.jpg,57,153,102,198
./imgs/img_00082.jpg,70,208,119,257
./imgs/img_00083.jpg,170,57,215,102
./imgs/img_00084.jpg,83,95,114,126
./imgs/img_00085.jpg,93,41,125,73
./imgs/img_00086.jpg,79,72,112,105
./imgs/img_00087.jpg,102,80,134,112
./imgs/img_00088.jpg,114,103,164,153
./imgs/img_00089.jpg,61,136,102,177
./imgs/img_00090.jpg,226,64,257,95
./imgs/img_00091.jpg,77,58,120,101
./imgs/img_00092.jpg,45,57,83,95
./imgs/img_00093.jpg,79,93,117,131
./imgs/img_00094.jpg,222,81,272,131
./imgs/img_00095.jpg,64,89,110,135
./imgs/img_00096.jpg,68,62,103,97
./imgs/img_00097.jpg,83,171,126,214
./imgs/img_00098.jpg,54,134,104,184
./imgs/img_00099.jpg,121,108,165,152
./imgs/img_00100.jpg,179,110,227,158
./imgs/img_00101.jpg,157,222,192,257
./imgs/img_00102.jpg,83,64,115,96
./imgs/img_00103.jpg,92,50,128,86
./imgs/img_00104.jpg,166,151,200,185
./imgs/img_00105.jpg,90,47,135,92
./imgs/img_00106.jpg,58,66,104,112
./imgs/img_00107.jpg,225,111,263,149
./imgs/img_00108.jpg,70,83,118,131
./imgs/img_00109.jpg,114,81,162,129
./imgs/img_00110.jpg,83,53,124,94
./imgs/img_00111.jpg,41,130,74,163
./imgs/img_00112.jpg,109,36,140,67
./imgs/img_00113.jpg,160,70,203,113
./imgs/img_00114.jpg,194,135,234,175
./imgs/img_00115.jpg,45,182,79,216
./imgs/img_00116.jpg,83,207,121,245
./imgs/img_00117.jpg,167,167,215,215
./imgs/img_00118.jpg,131,149,176,194
./imgs/img_00119.jpg,42,88,75,121
./imgs/img_00120.jpg,37,73,74,110
./imgs/img_00121.jpg,208,42,238,72
./imgs/img_00122.jpg,69,138,109,178
./imgs/img_00123.jpg,179,81,210,112
./imgs/img_00124.jpg,135,34,168,67
./imgs/img_00125.jpg,84,81,131,128
./imgs/img_00126.jpg,104,43,141,80
./imgs/img_00127.jpg,90,120,127,157
./imgs/img_00128.jpg,157,140,201,184
./imgs/img_00129.jpg,60,54,110,104
./imgs/img_00130.jpg,169,106,210,147
./imgs/img_00131.jpg,32,68,64,100
./imgs/img_00132.jpg,43,91,85,133
./imgs/img_00133.jpg,38,46,69,77
./imgs/img_00134.jpg,59,58,97,96
./imgs/img_00135.jpg,106,67,150,111
./imgs/img_00136.jpg,68,40,100,72
./imgs/img_00137.jpg,93,85,123,115
./imgs/img_00138.jpg,94,63,124,93
./imgs/img_00139.jpg,88,150,119,181
./imgs/img_00140.jpg,76,57,125,106
./imgs/img_00141.jpg,46,195,83,232
./imgs/img_00142.jpg,43,132,86,175
./imgs/img_00143.jpg,58,150,108,200
./imgs/img_00144.jpg,92,121,134,163
./imgs/img_00145.jpg,70,219,117,266
./imgs/img_00146.jpg,111,42,149,80
./imgs/img_00147.jpg,186,68,217,99
./imgs/img_00148.jpg,157,85,206,134
./imgs/img_00149.jpg,68,169,98,199
./imgs/img_00150.jpg,61,41,102,82
./imgs/img_00151.jpg,170,77,207,114
./imgs/img_00152.jpg,84,48,119,83
./imgs/img_00153.jpg,127,71,163,107
./imgs/img_00154.jpg,55,145,86,176
./imgs/img_00155.jpg,111,222,158,269
./imgs/img_00156.jpg,112,230,146,264
./imgs/img_00157.jpg,176,125,223,172
./imgs/img_00158.jpg,49,152,88,191
./imgs/img_00159.jpg,69,66,108,105
./imgs/img_00160.jpg,76,80,112,116
./imgs/img_00161.jpg,73,108,117,152
./imgs/img_00162.jpg,89,189,130,230
./imgs/img_00163.jpg,76,76,123,123
./imgs/img_00164.jpg,122,71,172,121
./imgs/img_00165.jpg,80,63,120,103
./imgs/img_00166.jpg,88,51,134,97
./imgs/img_00167.jpg,103,102,151,150
./imgs/img_00168.jpg,54,186,85,217
./imgs/img_00169.jpg,64,77,113,126
./imgs/img_00170.jpg,64,69,104,109
